Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases,Rating_Missing_Flag,Discount Applied_Flag,Subscription Status_Flag,Estimated_Lifetime_Spend,Purchases_Per_Year,Value_Tier,Low_Satisfaction_Flag,Promo_Dependency_Score,Previous_Purchases_TieBreak,Tenure_Censored_Flag,Loyalty_Score_A_Behavioral,Engagement_Depth_Tier,Frequency_Inconsistency_Flag,Loyalty_Score_B_Value_Satisfaction,Customer_Segment,Region
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,46,Debit Card,Bi-Weekly,0,1,1,4230,26,Platinum,1,0.6840120663650076,46.00009744871795,0,0.9164102564102564,Veteran,0,0.6441025641025641,"Habitual, Not Yet Valuable",Northeast
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,50,Cash,Every 3 Months,0,1,1,2601,4,Platinum,1,0.6840120663650076,50.00008096153846,1,0.9862820512820513,Veteran,0,0.46205128205128204,"Habitual, Not Yet Valuable",South
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,22,Debit Card,Quarterly,0,1,1,1426,4,Gold,0,0.6840120663650076,22.00005369230769,0,0.4351282051282051,Developing,0,0.5917307692307692,Low Priority / At Risk,South
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,32,Debit Card,Annually,0,1,1,1221,1,Silver,1,0.6840120663650076,32.00004638461539,0,0.6326923076923077,Established,1,0.3696794871794872,Low Priority / At Risk,West
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,40,Credit Card,Weekly,0,1,1,3608,52,Platinum,0,0.6840120663650076,40.00009305128205,0,0.8008974358974359,Veteran,0,0.8486538461538462,Core Loyal,South
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,16,Debit Card,Weekly,0,1,1,374,52,Bronze,1,0.6840120663650076,16.000012564102565,0,0.3030769230769231,Developing,0,0.13942307692307693,Low Priority / At Risk,South
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,14,PayPal,Annually,0,1,1,375,1,Bronze,0,0.6840120663650076,14.000012653846154,0,0.26166666666666666,Developing,0,0.28173076923076923,Low Priority / At Risk,South
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,13,Credit Card,Annually,0,1,1,280,1,Bronze,0,0.6840120663650076,13.000008615384615,0,0.24269230769230768,New,0,0.26153846153846155,Low Priority / At Risk,West
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,7,Bank Transfer,Every 3 Months,0,1,1,448,4,Bronze,0,0.6840120663650076,7.000015666666667,0,0.13666666666666666,New,0,0.5740384615384615,Low Priority / At Risk,South
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,41,PayPal,Every 3 Months,0,1,1,3948,4,Platinum,0,0.6840120663650076,41.000095615384616,0,0.8202564102564103,Veteran,0,0.861474358974359,Core Loyal,South
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,14,Credit Card,Weekly,0,1,1,720,52,Silver,0,0.6840120663650076,14.000027,0,0.2691025641025641,Developing,0,0.45826923076923076,Low Priority / At Risk,West
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,16,Credit Card,Monthly,0,1,1,527,12,Bronze,0,0.6840120663650076,16.000019102564103,0,0.30538461538461537,Developing,0,0.5381410256410256,Low Priority / At Risk,South
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,45,Venmo,Monthly,0,1,1,3634,12,Platinum,0,0.6840120663650076,45.00009334615385,0,0.8947435897435897,Veteran,0,0.9093589743589743,Core Loyal,South
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,37,Venmo,Annually,0,1,1,2546,1,Platinum,0,0.6840120663650076,37.00008001282051,0,0.7357692307692307,Established,1,0.881025641025641,Promising New,Midwest
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,45,Cash,Quarterly,0,1,1,1748,4,Gold,1,0.6840120663650076,45.000063576923075,0,0.8838461538461538,Veteran,0,0.47474358974358977,"Habitual, Not Yet Valuable",West
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,38,PayPal,Quarterly,0,1,1,3549,4,Platinum,0,0.6840120663650076,38.00009255128205,0,0.7585897435897436,Veteran,0,0.885,Core Loyal,Midwest
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,48,Credit Card,Bi-Weekly,0,1,1,1617,26,Gold,0,0.6840120663650076,48.00005941025641,0,0.9456410256410256,Veteran,0,0.5992307692307692,"Habitual, Not Yet Valuable",Northeast
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,44,PayPal,Bi-Weekly,0,1,1,3105,26,Platinum,0,0.6840120663650076,44.000087923076926,0,0.8705128205128205,Veteran,0,0.8618589743589744,Core Loyal,Midwest
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,10,PayPal,Weekly,0,1,1,495,52,Bronze,1,0.6840120663650076,10.00001791025641,0,0.18846153846153846,New,0,0.1467948717948718,Low Priority / At Risk,Midwest
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.7,Yes,2-Day Shipping,Yes,44,Venmo,Every 3 Months,1,1,1,1665,4,Gold,0,0.6840120663650076,44.00006114102564,0,0.8626923076923076,Veteran,0,0.5443589743589743,"Habitual, Not Yet Valuable",South
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,18,Credit Card,Monthly,0,1,1,1140,12,Silver,0,0.6840120663650076,18.00004353846154,0,0.34794871794871796,Developing,0,0.5612820512820513,Low Priority / At Risk,West
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,31,Debit Card,Quarterly,0,1,1,2432,4,Platinum,0,0.6840120663650076,31.00007791025641,0,0.622051282051282,Established,0,0.8117948717948718,Promising New,South
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,40,Venmo,Annually,0,1,1,1599,1,Gold,0,0.6840120663650076,40.000058807692305,0,0.7908974358974359,Veteran,1,0.6964743589743589,"Habitual, Not Yet Valuable",West
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,15,PayPal,Annually,0,1,1,1600,1,Gold,0,0.6840120663650076,15.000058923076923,0,0.30230769230769233,Developing,0,0.6178846153846154,Low Priority / At Risk,South
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,19,PayPal,Bi-Weekly,0,1,1,1380,26,Gold,0,0.6840120663650076,19.000051846153845,0,0.3720512820512821,Developing,0,0.49788461538461537,Low Priority / At Risk,Midwest
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,45,PayPal,Weekly,0,1,1,2438,52,Platinum,0,0.6840120663650076,45.00007801282051,0,0.887051282051282,Veteran,0,0.8123076923076923,Core Loyal,South
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,25,PayPal,Annually,0,1,1,546,1,Bronze,1,0.6840120663650076,25.000020166666665,0,0.48423076923076924,Developing,1,0.17743589743589744,Low Priority / At Risk,South
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,45,Cash,Quarterly,0,1,1,1978,4,Gold,1,0.6840120663650076,45.000069076923076,0,0.8848717948717949,Veteran,0,0.4219871794871795,"Habitual, Not Yet Valuable",West
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,36,Cash,Weekly,0,1,1,1998,52,Gold,0,0.6840120663650076,36.0000695,0,0.7125641025641025,Established,0,0.7499358974358974,Low Priority / At Risk,West
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,38,Cash,Monthly,0,1,1,2145,12,Gold,1,0.6840120663650076,38.00007248717949,0,0.7502564102564102,Veteran,0,0.4010897435897436,"Habitual, Not Yet Valuable",West
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,34,Debit Card,Bi-Weekly,0,1,1,1050,26,Silver,0,0.6840120663650076,34.00003987179487,0,0.6728205128205128,Established,0,0.6216025641025641,Low Priority / At Risk,Northeast
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.7,Yes,Store Pickup,Yes,39,Debit Card,Bi-Weekly,1,1,1,1120,26,Silver,0,0.6840120663650076,39.00004285897436,0,0.7646153846153846,Veteran,0,0.45294871794871794,"Habitual, Not Yet Valuable",South
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,7,Credit Card,Quarterly,0,1,1,472,4,Bronze,0,0.6840120663650076,7.000016743589744,0,0.1376923076923077,New,0,0.5263461538461538,Low Priority / At Risk,Northeast
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,26,Credit Card,Weekly,0,1,1,540,52,Bronze,1,0.6840120663650076,26.000019846153847,0,0.5042307692307693,Established,0,0.1178846153846154,Low Priority / At Risk,West
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,35,Credit Card,Weekly,0,1,1,864,52,Silver,0,0.6840120663650076,35.00003241025641,0,0.6905128205128205,Established,0,0.44224358974358974,Low Priority / At Risk,South
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,35,Debit Card,Bi-Weekly,0,1,1,3384,26,Platinum,0,0.6840120663650076,35.00009105128205,0,0.7046153846153846,Established,0,0.7988461538461539,Promising New,West
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,49,Credit Card,Annually,0,1,1,1400,1,Gold,1,0.6840120663650076,49.00005241025641,0,0.9665384615384616,Veteran,1,0.35967948717948717,"Habitual, Not Yet Valuable",South
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,46,Credit Card,Weekly,0,1,1,3431,52,Platinum,0,0.6840120663650076,46.00009135897436,0,0.9130769230769231,Veteran,0,0.8994230769230769,Core Loyal,South
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,17,Debit Card,Bi-Weekly,0,1,1,1152,26,Silver,0,0.6840120663650076,17.000044,0,0.32974358974358975,Developing,0,0.6033974358974359,Low Priority / At Risk,South
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,29,Venmo,Monthly,0,1,1,1620,12,Gold,0,0.6840120663650076,29.00005955128205,0,0.5728205128205128,Established,0,0.6413461538461538,Low Priority / At Risk,Midwest
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,4,Debit Card,Weekly,0,1,1,395,52,Bronze,0,0.6840120663650076,4.00001341025641,0,0.07897435897435898,New,1,0.48929487179487174,Low Priority / At Risk,South
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,17,Cash,Weekly,0,1,1,666,52,Silver,0,0.6840120663650076,17.00002508974359,0,0.3241025641025641,Developing,0,0.4276282051282051,Low Priority / At Risk,West
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,21,Credit Card,Every 3 Months,0,1,1,1496,4,Gold,0,0.6840120663650076,21.000055756410255,0,0.41525641025641025,Developing,0,0.7214102564102565,Low Priority / At Risk,South
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,31,Credit Card,Bi-Weekly,0,1,1,672,26,Silver,0,0.6840120663650076,31.000025346153848,0,0.6037179487179487,Established,0,0.3863461538461539,Low Priority / At Risk,South
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,43,Credit Card,Weekly,0,1,1,3476,52,Platinum,1,0.6840120663650076,43.000092,0,0.8543589743589743,Veteran,0,0.49865384615384617,"Habitual, Not Yet Valuable",West
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,18,Debit Card,Bi-Weekly,0,1,1,1577,26,Gold,0,0.6840120663650076,18.000058064102564,0,0.35525641025641025,Developing,0,0.7516666666666667,Promising New,South
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,44,Venmo,Every 3 Months,0,1,1,1620,4,Gold,0,0.6840120663650076,44.00005955128205,0,0.862051282051282,Veteran,0,0.7591025641025642,Core Loyal,Northeast
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,3,Venmo,Every 3 Months,0,1,1,376,4,Bronze,0,0.6840120663650076,3.000012782051282,0,0.06217948717948718,New,0,0.5065384615384615,Low Priority / At Risk,Northeast
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,49,Debit Card,Monthly,0,1,1,1650,12,Gold,0,0.6840120663650076,49.00006071794872,0,0.9685897435897436,Veteran,0,0.6869871794871796,"Habitual, Not Yet Valuable",Northeast
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,21,Cash,Every 3 Months,0,1,1,1012,4,Silver,0,0.6840120663650076,21.000038487179488,0,0.4106410256410256,Developing,0,0.47262820512820514,Low Priority / At Risk,West
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,5,Cash,Weekly,0,1,1,420,52,Bronze,0,0.6840120663650076,5.000014576923077,0,0.09846153846153846,New,0,0.4562820512820513,Low Priority / At Risk,South
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,32,Debit Card,Every 3 Months,0,1,1,957,4,Silver,0,0.6840120663650076,32.000036076923074,0,0.6305128205128205,Established,0,0.523974358974359,Low Priority / At Risk,South
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,34,Bank Transfer,Annually,0,1,1,1680,1,Gold,1,0.6840120663650076,34.00006167948718,0,0.6796153846153846,Established,1,0.385,Low Priority / At Risk,South
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,21,Bank Transfer,Every 3 Months,0,1,1,572,4,Bronze,1,0.6840120663650076,21.000021423076923,0,0.4037179487179487,Developing,0,0.18371794871794872,Low Priority / At Risk,South
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,43,Bank Transfer,Bi-Weekly,0,1,1,3740,26,Platinum,1,0.6840120663650076,43.00009406410256,0,0.8557692307692307,Veteran,0,0.508974358974359,"Habitual, Not Yet Valuable",West
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,3,Cash,Monthly,0,1,1,232,12,Bronze,0,0.6840120663650076,3.0000066282051283,0,0.05102564102564103,New,0,0.4355769230769231,Low Priority / At Risk,Midwest
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,21,Credit Card,Annually,0,1,1,1870,1,Gold,1,0.6840120663650076,21.000066564102564,0,0.4194871794871795,Developing,1,0.371474358974359,Low Priority / At Risk,West
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,32,Venmo,Monthly,0,1,1,1419,12,Gold,0,0.6840120663650076,32.000053307692305,0,0.6335897435897436,Established,0,0.6101282051282051,Low Priority / At Risk,South
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,36,Debit Card,Bi-Weekly,0,1,1,1961,26,Gold,1,0.6840120663650076,36.00006874358974,0,0.7123076923076923,Established,0,0.500576923076923,Low Priority / At Risk,South
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,50,Venmo,Bi-Weekly,0,1,1,4641,26,Platinum,0,0.6840120663650076,50.000099294871795,1,0.997051282051282,Veteran,0,0.9391025641025641,Core Loyal,Midwest
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,43,Bank Transfer,Every 3 Months,0,1,1,4224,4,Platinum,1,0.6840120663650076,43.00009737179487,0,0.8588461538461538,Veteran,0,0.5055128205128205,"Habitual, Not Yet Valuable",Midwest
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.8,Yes,Store Pickup,Yes,24,Credit Card,Every 3 Months,1,1,1,1800,4,Gold,0,0.6840120663650076,24.000065153846155,0,0.47602564102564104,Developing,0,0.5853846153846154,Low Priority / At Risk,Northeast
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,36,Credit Card,Every 3 Months,0,1,1,3552,4,Platinum,1,0.6840120663650076,36.0000926025641,0,0.7234615384615385,Established,0,0.48166666666666663,Low Priority / At Risk,South
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,21,Credit Card,Every 3 Months,0,1,1,616,4,Bronze,0,0.6840120663650076,21.000023205128205,0,0.40435897435897433,Developing,0,0.41820512820512823,Low Priority / At Risk,South
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,34,Bank Transfer,Weekly,0,1,1,1400,52,Gold,0,0.6840120663650076,34.00005241025641,0,0.676025641025641,Established,0,0.5853205128205128,Low Priority / At Risk,South
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,42,Bank Transfer,Every 3 Months,0,1,1,1376,4,Gold,0,0.6840120663650076,42.00005161538461,0,0.8252564102564103,Veteran,0,0.641474358974359,"Habitual, Not Yet Valuable",West
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,2,Debit Card,Bi-Weekly,0,1,1,285,26,Bronze,0,0.6840120663650076,2.000008782051282,0,0.038205128205128204,New,0,0.44634615384615384,Low Priority / At Risk,West
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,47,Cash,Bi-Weekly,0,1,1,1968,26,Gold,0,0.6840120663650076,47.00006878205128,0,0.9248717948717948,Veteran,0,0.5825641025641026,"Habitual, Not Yet Valuable",West
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,44,Debit Card,Bi-Weekly,0,1,1,2385,26,Platinum,0,0.6840120663650076,44.00007685897436,0,0.8667948717948718,Veteran,0,0.622948717948718,"Habitual, Not Yet Valuable",Midwest
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,35,Credit Card,Monthly,0,1,1,1692,12,Gold,0,0.6840120663650076,35.00006208974359,0,0.6953846153846154,Established,0,0.5097435897435897,Low Priority / At Risk,West
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,15,Cash,Quarterly,0,1,1,1328,4,Silver,0,0.6840120663650076,15.000049923076922,0,0.29923076923076924,Developing,0,0.46807692307692306,Low Priority / At Risk,West
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,29,Credit Card,Monthly,0,1,1,1440,12,Gold,1,0.6840120663650076,29.000054205128205,0,0.5715384615384616,Established,0,0.34762820512820514,Low Priority / At Risk,South
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,18,Credit Card,Every 3 Months,0,1,1,1881,4,Gold,0,0.6840120663650076,18.000067038461538,0,0.35884615384615387,Developing,0,0.7574358974358975,Promising New,South
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,13,Venmo,Every 3 Months,0,1,1,1218,4,Silver,0,0.6840120663650076,13.00004623076923,0,0.2571794871794872,Developing,0,0.6145512820512821,Low Priority / At Risk,South
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,46,Credit Card,Weekly,0,1,1,2914,52,Platinum,0,0.6840120663650076,46.00008553846154,0,0.9098717948717949,Veteran,0,0.8301282051282051,Core Loyal,South
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,28,Credit Card,Weekly,0,1,1,2204,52,Gold,0,0.6840120663650076,28.00007355128205,0,0.556923076923077,Established,0,0.79,Promising New,West
